>> runbfo

  **********************************************************
  *                                                        *
  *   BFO: brute-force optimization without derivatives    *
  *                                                        *
  *       (c)  Ph. Toint, M. Porcelli, 2018  (v 2.0)       *
  *                                                        *
  **********************************************************

 Minimizing tleedfcn
 neval        fx        est.crit       cmesh       status
    1  +2.799134e-01                1.036800e+00
   81  +2.799134e-01  6.148977e-01  1.036800e+00  refine
   84  +2.672801e-01   -----------  2.070490e-01     +2
  166  +2.640968e-01   -----------  2.950034e-01    +41
  174  +2.564365e-01   -----------  4.203208e-01     +4
  258  +2.564365e-01  1.344337e+00  5.988731e-01  refine
  263  +2.556761e-01   -----------  1.195949e-01     +3
  266  +2.505457e-01   -----------  1.703989e-01     +2
  282  +2.436433e-01   -----------  2.427843e-01     +8
  305  +2.282407e-01   -----------  3.459191e-01    +12
  389  +2.282407e-01  1.647679e+00  4.928656e-01  refine
  407  +2.270543e-01   -----------  9.842525e-02     +9
  491  +2.270543e-01  2.625698e-01  1.402363e-01  refine
  497  +2.231241e-01   -----------  2.800519e-02     +3
  499  +2.203240e-01   -----------  3.990179e-02     +1
  502  +2.201460e-01   -----------  5.685207e-02     +2
  528  +2.181135e-01   -----------  8.100284e-02    +13
  577  +2.172913e-01   -----------  1.154128e-01    +25
  604  +2.136436e-01   -----------  1.644402e-01    +14
  688  +2.136436e-01  2.411635e+00  2.342944e-01  refine
  692  +2.106578e-01   -----------  4.678859e-02     +2
  698  +2.077577e-01   -----------  6.666439e-02     +3
  782  +2.077577e-01  3.241105e-01  9.498342e-02  refine
  818  +2.075220e-01   -----------  1.896819e-02    +18
  825  +2.068374e-01   -----------  2.702588e-02     +4
  856  +2.058793e-01   -----------  3.850647e-02    +16
  905  +2.045767e-01   -----------  5.486402e-02    +25
  989  +2.045767e-01  2.614254e-01  7.817025e-02  refine
 1073  +2.045767e-01  1.327927e+00  1.561060e-02  refine
 1157  +2.045767e-01  6.217355e+00  3.117437e-03  refine
 1241  +2.045767e-01  3.321881e+01  6.225521e-04  refine
 1310  +2.045767e-01  5.208076e+02  5.000000e-05  checking
 1375  +2.045767e-01  2.239916e+02  5.000000e-05  checking
 1441  +2.045767e-01  4.051819e+02  5.000000e-05  checking
 1507  +2.045767e-01  4.042972e+02  5.000000e-05  checking
 1570  +2.045767e-01  3.364787e+02  5.000000e-05  converged
 Convergence in 1570 evaluations of tleedfcn.
